ingresos_ventas,activos,utilidad_neta,liquidez_corriente,ruc,certificada,nombre
15900.0,394421.42,263749.63,49.66,0992412801001,0.0,SEAFOOD ECUADOR S.A. FOODECUA
630600.9,228010.55,26171.69,0.0,0992417986001,0.0,NUTROSA S.A.
644210.49,534202.99,18263.66,6.35,0992516801001,0.0,QUOLIMP S.A.
4060274.31,4917799.92,96.42,0.73,0992520620001,0.0,NEGOBIAN S.A.
1163393.41,513563.71,132059.5,5.81,0992522321001,0.0,FAENAMIENTO DE CAMARON FAECAMSA S.A.
20440.0,73743.29,7073.57,0.51,0992521600001,0.0,CIAPROCOM S.A.
7692882.96,6783787.51,1245524.99,0.78,0992522690001,0.0,RODLAROK S.A.
9151680.95,5045791.72,1119669.8,1.54,0992534982001,0.0,KISHOR S.A.
1612282.51,868280.09,1612.9,2.46,0791727405001,0.0,JEANSMAR CIA. LTDA.
43094175.0,48084163.0,6009194.0,1.03,0992509597001,0.0,DISTRISODA S.A.
142917.14,2324119.86,4748.82,0.32,0992512849001,0.0,PESCALIA S.A.
32083.6,462927.55,5420.72,0.74,0992513063001,0.0,LANGOPESCA S.A.
28587347.39,21938391.43,3921173.36,1.29,0992514388001,0.0,GOLDENSHRIMP S.A.
266269.0,11133665.94,22476.96,1.45,0992501669001,0.0,BLAUNSA S.A.
1502156.38,692961.03,11699.5,1.065,0992507454001,0.0,PENSTATION S.A.
355453.42,79904.67,3614.19,0.23,0992492805001,0.0,BURCAMAR S.A.
104940.3,223278.19,-963.96,8.68,0992494654001,0.0,SERTURSA SERVICIOS TURISTICOS S.A.
97576.18,118886.6,18231.3,14.61,0992497491001,0.0,EXPORVALOR S.A.
258426.75,497942.84,2597.64,1.02,0992497300001,0.0,LOMESA S.A.
7.62,3218509.41,882.22,1.3,0992500859001,0.0,BLAYLON S.A.
18766478.0,3649902.86,-14262461.0,1.3,0992487682001,0.0,ZAMBRITISA S.A.
482833.5,1030859.95,1918.21,2.78,0992475765001,0.0,DOLARVENTAS S.A.
9502467.6,13012583.12,290790.7,1.11,0992476249001,0.0,AQUALINTER S.A.
895331.07,391349.25,1362.85,3.44,0992477539001,0.0,KLIMPY S.A.
111438.18,31673.59,11699.5,1.065,0992478020001,0.0,"EXPORTADORA DE CAMARONES DEL MAR, EXCAMAR S.A."
20.02,800.02,0.02,0.0,0992481315001,0.0,SERVIBLUE S.A.
1629776.36,1025053.45,23846.84,3.93,0992481757001,0.0,FILACAS S.A.
2403421.05,2438705.27,-44206.52,0.48,0992481722001,0.0,CALIMMO S.A.
1014501.24,580830.41,14197.9,1.62,0992482907001,0.0,FLOTCORP S.A.
2266953.31,605289.11,67166.86,1.3,0992468068001,0.0,KLINBAC S.A.
948478.55,2699053.68,29112.02,1.41,0992469366001,0.0,HISPANADELL S.A.
162629.0,621352.96,7714.64,0.22,0992472790001,0.0,CERBE S.A.
20844956.12,15786173.26,3037857.95,1.04,0992459123001,0.0,BIOTECNOLOGIA & GENETICA MARINA S.A. (BIOGEMAR)
106365.64,59104.61,-14687.31,0.06,0992459336001,0.0,ASESWORKER S. A.
31227.78,37765.93,11483.43,1.67,0992463740001,0.0,ASINFOR S.A.
49823.49,63933.18,-6983.65,0.02,0992462612001,0.0,MENTESUPREM S.A.
6460.0,1618615.37,0.0,25206.34,0992592729001,0.0,PESMACA PESQUERA MARINA C.A.
7261.25,4449019.82,0.0,256.41,0992590289001,0.0,TIMERSA S.A.
1295.0,1737540.26,0.0,321.42,0992590211001,0.0,CULTISEN S.A.
32395.0,2028979.58,-2467.17,80.17,0992590297001,0.0,METROPOLE S.A.
3303119.75,1607106.29,63348.57,0.57,0992581220001,0.0,YASIMCORP S.A.
1146437.15,900445.69,12877.37,1.35,0992566450001,0.0,GRANDBRAIN S.A.
1047567.66,630234.36,24579.96,1.78,0992568909001,0.0,CELISTCORP S.A.
110000.0,1298958.72,76005.26,0.0,0992570334001,0.0,CEVALLOS ESPINAR CEPINA C. LTDA.
267234.35,476111.54,-4176.4,0.74,0992567341001,0.0,ARMOTA S.A.
906776.89,272380.9,28415.15,0.93,0992555297001,0.0,FINCAS AGROACUICOLA FUZU S.A.
1336395.61,484850.54,22315.56,0.47,0992555807001,0.0,PISCIFRANZ S.A.
298786.7,4592461.4,-20517.43,1.01,0992539992001,0.0,ECUATRAINER S.A.
539080.11,3369251.63,19209.3,1.08,0992541253001,0.0,MULVIANT S.A.
77284.7,162276.82,-11772.65,0.15,0992543132001,0.0,PESCAM - ALAMO S.A.
7530481.82,2404253.57,14086.34,1.34,0992542055001,0.0,SUAMULTI S. A.
887438.28,1552311.49,90804.62,2.3,0992556935001,0.0,MARBLANCO S.A.
4162687.4,5082644.01,71174.11,1.63,0992536438001,0.0,ARMATECSA S.A.
36671.36,304485.64,3802.44,8.88,0992536675001,0.0,CAMACIEL S.A.
742399.79,4798009.64,21905.25,1.54,2091756407001,0.0,TOVOLPEN S.A.
7544757.12,4008938.4,712559.53,1.11,0992534990001,0.0,MADSEN S.A.
216507417.71,53566780.25,158271.79,0.8,0992528699001,0.0,EMPACRECI S.A.
113786.57,4151818.89,4935.81,0.73,0992531053001,0.0,MAUVEZIN S.A.
8821029.05,13077293.58,241689.55,1.34,0992599979001,0.0,ACUASAM S.A.
5758098.0,16623632.09,143026.18,1.17,0992599723001,0.0,MARTINCORP S.A.
2966486.23,2114867.05,91996.85,1.39,2490000286001,0.0,PRIMICIAS DEL MAR S.A. PRICMARSA
1198571.51,200894.87,9285.19,1.21,0992599332001,0.0,FORTUNAGRO S.A.
65856.24,464250.02,11699.5,0.04,0992603410001,0.0,IMPERIALCIA S.A.
390257.77,402153.82,1260.72,0.27,0992648481001,0.0,ABESTRO S.A.
586159.82,188589.34,-34756.66,0.64,0992650257001,0.0,ESTERO DE PALMAR S.A. (ESPALMARSA)
3931524.82,1942468.24,304358.26,1.34,0992637617001,0.0,"CAMARONERA DEL PACIFICO, PACIMAR S.A."
1499452.34,497595.93,931.21,0.73,0992630558001,0.0,NEGODICH S.A.
3554469.41,1625023.32,264245.9,1.2,0992632097001,0.0,"REY DEL MAR, REYMAR S.A."
258851.85,156601.2,758.3,1.25,0992631953001,0.0,CAMARONERA CAMIVAN S.A.
51821.75,1341140.61,-2195.84,11.34,0992624361001,0.0,PESQUERA SANTA MARIA DEL BAJEN S.A. SAMABASA
