cia_imvalores,ingresos_ventas,activos,patrimonio,utilidad_an_imp,impuesto_renta,n_empleados,ingresos_totales,utilidad_ejercicio,total_gastos,ruc,certificada
0.0,250000.0,7757701.02,4745723.09,91037.85,38677.26,2.0,252000.0,91037.85,160962.15,0992210028001,0.0
0.0,1930.0,4933.55,4932.08,0.0,1.47,2.0,1930.0,6.68,1923.32,0992218282001,0.0
0.0,4783814.64,2875922.21,1746722.97,0.0,100573.53,31.0,4801263.67,441569.6,1398664.17,0992218622001,0.0
0.0,57600.0,2860272.47,2365034.38,1345.01,109.15,19.0,58278.4,1582.37,56696.03,0992329912001,0.0
0.0,99817.5,45239.36,38384.08,-135.34,436.37,6.0,99817.5,-135.34,99952.84,0992316144001,0.0
0.0,970294.8,490288.06,181243.03,6918.72,16247.33,6.0,970294.8,8139.67,852077.48,0992295309001,0.0
0.0,341336.21,3724111.94,2192139.78,16576.46,3770.76,6.0,341859.27,19501.72,185921.08,0992591730001,0.0
0.0,4032643.73,8375061.96,2194940.45,1024084.33,0.0,4.0,4139486.22,1024084.33,471819.7,0992597143001,0.0
0.0,393408.03,234683.8,119743.14,3762.99,8233.76,6.0,394407.27,4427.05,65713.48,0992595280001,0.0
0.0,121933830.0,30056762.8,12969871.75,5742390.23,1183148.53,799.0,122025677.51,6755753.21,0.0,0992597895001,0.0
0.0,5938437.61,4677425.54,3375612.29,0.0,59342.7,31.0,5941086.21,242071.12,390792.83,0992397837001,0.0
0.0,3616602.63,2543654.38,1508714.98,-84092.35,0.0,25.0,3620441.17,0.0,140866.04,0992397829001,0.0
0.0,3302693.19,12778522.9,5460985.86,106801.5,58959.07,37.0,5751234.14,125648.82,1723324.48,0992401591001,0.0
0.0,433180.05,514828.52,104464.8,0.0,986.37,11.0,433180.05,0.0,0.0,0992214473001,0.0
0.0,0.0,249940.41,67417.02,0.0,0.0,2.0,0.0,0.0,53938.26,0992375566001,0.0
0.0,338510.56,53004.93,52435.95,0.0,0.0,7.0,338510.56,-1972.94,943.58,0992447400001,0.0
0.0,15900.0,394421.42,284147.61,263749.63,0.0,1.0,280194.45,263749.63,5395.3,0992412801001,0.0
0.0,123214.32,409339.51,215683.44,0.0,0.0,14.0,123214.32,-35398.93,158613.25,0992406429001,0.0
0.0,644210.49,534202.99,506002.99,23414.95,5151.29,8.0,644210.49,23414.95,26969.6,0992516801001,0.0
0.0,1163393.41,513563.71,443193.87,176079.33,44019.83,52.0,1163393.41,207152.15,227276.84,0992522321001,0.0
0.0,9151680.95,5045791.72,2619243.85,1502384.93,380685.03,67.0,9151680.95,1767288.08,243335.69,0992534982001,0.0
0.0,1612282.51,868280.09,577208.9,3261.01,1648.11,3.0,1613482.51,3836.48,182994.14,0791727405001,0.0
0.0,43094175.0,48084163.0,25955269.0,8242006.0,2529570.0,309.0,43153741.0,9921253.0,3795958.0,0992509597001,0.0
0.0,28587347.39,21938391.43,12176429.67,5487250.05,1482228.48,151.0,28613832.19,6450487.34,7171503.53,0992514388001,0.0
